point	Offense	Defense
1		18P
1	19PU	
1	89	
1	21	
1	89	
1	91	
1	89	
1	21	
1	98	
1	91	
1	10LG	
2		8OBP
2	1PU	
2	6	
2	8LG	
3		18P
3	19PU	
3	91	
3	19	
3	22	
3		18D
3		29
3		21
3		29
3		21
3	89F	2
3		12G
4		24P
4	19PU	
4	89	
4	21	
4	91	
4	72LG	
5		8P
5	00PU	
5	1	
5	6	
5	'00	
5	17	
5	14	
5	'00	
5	17	
5	6L	
5	8	
5	6	
5	1G	
6		18P
6	89PU	
6	91	
6	98	
6	22	
6	10LG	
7		8P
7	00PU	
7	20	
7	48	
7	20	
7	'00	
7	1	
7	20	
7	1	
7	'00	
7	17	
7	'00	
7	6	
7	48TD	
7		24pu
7		8
7		27
7		11
7		8
7		4
7		45
7		27
7		45
7		8
7		11G
8		37P
8	00PU	
8	1	
8	14	
8	'00	
8	17	
8	8	
8		75pu
8		37
8		24
8	17pu	
8	14	
8		24pu
8		37G
9		8P
9	00PU	
9	17	
9	'00	
9	6	
9	'00	
9	6	
9	20	
9	17	
9	'00	
9	48	
9	20G	
10		18OBP
10	91PU	
10	19	
10	19f	
10	89	
10	19	
10	91	
10	19	
10	21	
10	22	
10	89	
10	91	
10		18D
10		23pu
10		15
10		29
10		18
10		2L
10		29
10		18G
11		24P
11	19PU	
11	91	
11	22	
11	89	
11	21	
11	10	
11	89L	
11	98G	
12		8OBP
12	20PU	
12	'00	
12	8	
12	20	
12	'00	
12	20	
12	9LG	
13		18P
13	89PU	
13	19	
13	21TD	
13		29pu
13	91pu	
13	89	
13	19	
13	21	
13	98	
13	22	
13	89	
13	19	
13	89	
13	91	
13	19G	
14		8P
14	14PU	
14	1	
14	6	
14		8D
15		8P
15	00PU	
15	1	
15	9	
15	1	
15	20	
15	'00	
15	9	
15	6	
15	1L	
15	00G	
16		29P
16	89PU	
16	91	
16	10	
16		29pu
16		21
16		29
16		21
16	21F	24
16		29
16		23G
17		29P
17	91PU	
17	98	
17	91	
17	19	
17	89	
17		29pu
17		12
17		15
17		23
17		77
17		29
17		2L
17		18
17		29G
18		24P
18	89PU	
18	91	
18	19	
18	72	
18	22	
18	89	
18	72	
18	19G	
19		8P
19	14PU	
19	1	
19	14	
19	1	
19	'00	
19	6	
19	51	
19	17	
19	14	
19	6	
19		75pu
19	'00pu	
19	1	
19	51	
19	'00	
19	1	
19	'00	
19	17	
19	6G	
20		29P
20	89PU	
20	19	
20	21	
20	91	
20	21	
20	19	
20	98	
20	91	
20	89	
20	91	
20	21	
20	89	
20	10G	
21		37P
21	00PU	
21	20	
21	48L	
21	8	
21	17G	
22		29P
22	89PU	
22	19	
22	89	
22	10	
22	22	
22	21	
22	22	
22	91	
22	89	
22	91	
22		29TO
22		1pu
22		9
22		1
22		14
22		17
22	8pu	
22	31	
22	45	
22	8	
22	45	
22	7	
22	27G	
23		8P
23	00PU	
23	1	
23	17	
23	6	
23	17	
23		4d
23		8pu
23		TO
23		89pu
23		22
23		21
23		89
23		91
23		19
23		98
23		19
23		91
23		21G
24		8P
24	14PU	
24	1	
24	'00	
24	1	
24	14	
24	6	
24	17	
24	14G	
25		29P
25	19PU	
25	81	
25	21	
25	10LG	
26		8P
26	1PU	
26	20	
26	1	
26		8D
27		29P
27	19PU	
27	89	
27	10	
27	22	
27	21	
27	98	
27	19	
27	89	
27	19	
27	91	
27	21	
27		15D
27		29pu
27		21
27		18
27		21
27		29
27		23L
27		21
27		12
27		21G
28		24P
28	89PU	
28	91	
28	89	
28	10	
28	91	
28	89	
28	21	
28	72LG	
29		8P
29	1PU	
29	20	
29	1	
29	20	
29	'00	
29	17	
29	6	
29	48LG	
30		29P
30	89PU	
30	19	
30	21	
30	22	
30		18D
30		29pu
30		18
30		21
30		23L
30		18G
31		29P
31	19PU	
31	91	
31	10	
31	98	
31	22	
31	19	
31	98G	
32		8P
32	00PU	
32	1	
32	9	
32	14	
32	1	
32	17	
32	6L	
32	9G	
33		29P
33	91PU	
33	19	
33	91	
33	22	
33	19	
33	10	
33	98	
33	72G	
34		8P
34	00PU	
34	1	
34	'00	
34	6	
34	48	
34		13D
34		89pu
34		98
34		10
34	29pu	
34	4	
34	29	
34	4	
34	29	
34	21	
34	29	
34	15	
34		91pu
34		19
34		89
34		10G
35		8P
35	00PU	
35	1	
35	'00	
35	14	
35	51	
35	'00	
35	14	
35	'00	45F
35		11pu
35		4
35		45
35		24
35	4D	
35	1pu	
35	8	
35	9L	
35	17	
35	14	
35	17	
35	1G	
36		29P
36	89PU	
36	91	
36		23D
36		29pu
36		18
36		23
36		21
36		12G
37		29P
37	19PU	
37	89	
37	21	
37	19	
37	98	
37	22	
37	89	
37	10	
37	98	
37		4pu
37	98D	
37	89pu	
37	10	
37	22	
37	98	
37	91	
37	19	
37	10	
37	89	
37	21G	
38		8P
38	1PU	
38	20	
38	1	
38	20	
38	8	
