point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	bosWC	phlSP	pt_dur	pt_dur_txt
1	1	10:00:00	9:42:00	bosWC	1	phlSP	hold	0	1	18	00:18
2	1	9:42:00	8:53:00	phlSP	1	bosWC	hold	1	1	49	00:49
3	1	8:53:00	6:02:00	bosWC	4	bosWC	break	2	1	171	02:51
4	1	6:02:00	4:59:00	bosWC	2	bosWC	break	3	1	63	01:03
5	1	4:59:00	4:14:00	bosWC	2	bosWC	break	4	1	45	00:45
6	1	4:14:00	4:11:00	bosWC	1	phlSP	hold	4	2	3	00:03
7	1	4:11:00	3:37:00	phlSP	1	bosWC	hold	5	2	34	00:34
8	1	3:37:00	2:57:00	bosWC	1	phlSP	hold	5	3	40	00:40
9	1	2:57:00	2:54:00	phlSP	1	bosWC	hold	6	3	3	00:03
10	1	2:54:00	2:19:00	bosWC	1	phlSP	hold	6	4	35	00:35
11	1	2:19:00	NA	phlSP	2	phlSP	break	6	5	NA	???
12	1	NA	NA	phlSP	1	bosWC	hold	7	5	NA	???
13	1	NA	0:00:00	bosWC	NA	NA	NA	7	5	NA	???
14	2	10:00:00	9:26:00	phlSP	1	bosWC	hold	8	5	34	00:34
15	2	9:26:00	8:26:00	bosWC	2	bosWC	break	9	5	60	01:00
16	2	8:26:00	7:52:00	bosWC	1	phlSP	hold	9	6	34	00:34
17	2	7:52:00	7:41:00	phlSP	1	bosWC	hold	10	6	11	00:11
18	2	7:41:00	7:21:00	bosWC	1	phlSP	hold	10	7	20	00:20
19	2	7:21:00	6:27:00	phlSP	1	bosWC	hold	11	7	54	00:54
20	2	6:27:00	4:42:00	bosWC	4	bosWC	break	12	7	105	01:45
21	2	4:42:00	4:06:00	bosWC	2	bosWC	break	13	7	36	00:36
22	2	4:06:00	3:09:00	bosWC	2	bosWC	break	14	7	57	00:57
23	2	3:09:00	2:41:00	bosWC	2	bosWC	break	15	7	28	00:28
24	2	2:41:00	0:13:00	bosWC	4	bosWC	break	16	7	148	02:28
25	2	0:13:00	0:00:00	bosWC	NA	NA	NA	16	7	13	00:13
26	3	10:00:00	9:28:00	bosWC	1	phlSP	hold	16	8	32	00:32
27	3	9:28:00	7:49:00	phlSP	4	phlSP	break	16	9	99	01:39
28	3	7:49:00	7:24:00	phlSP	1	bosWC	hold	17	9	25	00:25
29	3	7:24:00	6:38:00	bosWC	1	phlSP	hold	17	10	46	00:46
30	3	6:38:00	5:55:00	phlSP	1	bosWC	hold	18	10	43	00:43
31	3	5:55:00	2:46:00	bosWC	5	phlSP	hold	18	11	189	03:09
32	3	2:46:00	1:44:00	phlSP	2	phlSP	break	18	12	62	01:02
33	3	1:44:00	0:39:00	phlSP	1	bosWC	hold	19	12	65	01:05
34	3	0:39:00	0:06:00	bosWC	1	phlSP	hold	19	13	33	00:33
35	3	0:06:00	0:00:00	phlSP	NA	NA	NA	19	13	6	00:06
36	4	10:00:00	8:42:00	phlSP	3	bosWC	hold	20	13	78	01:18
37	4	8:42:00	8:08:00	bosWC	1	phlSP	hold	20	14	34	00:34
38	4	8:08:00	6:37:00	phlSP	2	phlSP	break	20	15	91	01:31
39	4	6:37:00	5:01:00	phlSP	3	bosWC	hold	21	15	96	01:36
40	4	5:01:00	4:09:00	bosWC	1	phlSP	hold	21	16	52	00:52
41	4	4:09:00	3:38:00	phlSP	1	bosWC	hold	22	16	31	00:31
42	4	3:38:00	1:56:00	bosWC	3	phlSP	hold	22	17	102	01:42
43	4	1:56:00	1:42:00	phlSP	1	bosWC	hold	23	17	14	00:14
44	4	1:42:00	0:45:00	bosWC	1	phlSP	hold	23	18	57	00:57
45	4	0:45:00	0:05:00	phlSP	1	bosWC	hold	24	18	40	00:40
46	4	0:05:00	0:00:00	bosWC	NA	NA	NA	24	18	5	00:05
