point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	nykRM	wdcCT	pt_dur	pt_dur_txt
1	1	10:00:00	NA	wdcCT	8	wdcCT	break	0	1	NA	???
2	1	NA	NA	wdcCT	2	wdcCT	break	0	2	NA	???
3	1	NA	NA	wdcCT	1	nykRM	hold	1	2	NA	???
4	1	NA	NA	nykRM	1	wdcCT	hold	1	3	NA	???
5	1	NA	NA	wdcCT	1	nykRM	hold	2	3	NA	???
6	1	NA	NA	nykRM	2	nykRM	break	3	3	NA	???
7	1	NA	NA	nykRM	1	wdcCT	hold	3	4	NA	???
8	1	NA	NA	wdcCT	NA	NA	NA	3	4	NA	???
9	2	10:00:00	NA	nykRM	1	wdcCT	hold	3	5	NA	???
10	2	NA	NA	wdcCT	2	wdcCT	break	3	6	NA	???
11	2	NA	NA	wdcCT	2	wdcCT	break	3	7	NA	???
12	2	NA	NA	wdcCT	4	wdcCT	break	3	8	NA	???
13	2	NA	NA	wdcCT	2	wdcCT	break	3	9	NA	???
14	2	NA	7:00:00	wdcCT	6	wdcCT	break	3	10	NA	???
15	2	7:00:00	NA	wdcCT	1	nykRM	hold	4	10	NA	???
16	2	NA	NA	nykRM	1	wdcCT	hold	4	11	NA	???
17	2	NA	NA	wdcCT	3	nykRM	hold	5	11	NA	???
18	2	NA	NA	nykRM	5	wdcCT	hold	5	12	NA	???
19	2	NA	NA	wdcCT	1	nykRM	hold	6	12	NA	???
20	2	NA	NA	nykRM	3	wdcCT	hold	6	13	NA	???
21	2	NA	NA	wdcCT	1	nykRM	hold	7	13	NA	???
22	2	NA	7:00:00	nykRM	3	wdcCT	hold	7	14	NA	???
23	2	7:00:00	0:00:00	wdcCT	NA	NA	NA	7	14	420	07:00
24	3	10:00:00	NA	wdcCT	1	nykRM	hold	8	14	NA	???
25	3	NA	NA	nykRM	1	wdcCT	hold	8	15	NA	???
26	3	NA	NA	wdcCT	1	nykRM	hold	9	15	NA	???
27	3	NA	NA	nykRM	1	wdcCT	hold	9	16	NA	???
28	3	NA	NA	wdcCT	2	wdcCT	break	9	17	NA	???
29	3	NA	NA	wdcCT	3	nykRM	hold	10	17	NA	???
30	3	NA	NA	nykRM	1	wdcCT	hold	10	18	NA	???
31	3	5:28:00	NA	wdcCT	1	nykRM	hold	11	18	NA	???
32	3	NA	NA	nykRM	1	wdcCT	hold	11	19	NA	???
33	3	NA	NA	wdcCT	1	nykRM	hold	12	19	NA	???
34	3	NA	NA	nykRM	3	wdcCT	hold	12	20	NA	???
35	3	NA	NA	wdcCT	1	nykRM	hold	13	20	NA	???
36	3	NA	NA	nykRM	1	wdcCT	hold	13	21	NA	???
37	3	NA	NA	wdcCT	1	nykRM	hold	14	21	NA	???
38	3	1:10:00	NA	nykRM	1	wdcCT	hold	14	22	NA	???
39	3	NA	NA	wdcCT	NA	NA	NA	14	22	NA	???
40	4	NA	NA	nykRM	2	nykRM	break	15	22	NA	???
41	4	NA	NA	nykRM	3	wdcCT	hold	15	23	NA	???
42	4	NA	NA	wdcCT	2	wdcCT	break	15	24	NA	???
43	4	NA	NA	wdcCT	1	nykRM	hold	16	24	NA	???
44	4	NA	NA	nykRM	1	wdcCT	hold	16	25	NA	???
45	4	NA	NA	wdcCT	1	nykRM	hold	17	25	NA	???
46	4	NA	NA	nykRM	1	wdcCT	hold	17	26	NA	???
47	4	NA	NA	wdcCT	1	nykRM	hold	18	26	NA	???
48	4	NA	NA	nykRM	1	wdcCT	hold	18	27	NA	???
49	4	NA	0:00:00	wdcCT	NA	NA	NA	18	27	NA	???
