point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Washington DC Current	1	10:00:00	9:07:00
2	Washington DC Current	1	9:07:00	7:50:00
3	Washington DC Current	1	7:50:00	6:41:00
4	Vancouver Nighthawks	1	6:41:00	5:42:00
5	Washington DC Current	1	5:42:00	4:34:00
6	Washington DC Current	1	4:34:00	2:26:00
7	Washington DC Current	1	2:26:00	1:47:00
8	Washington DC Current	1	1:47:00	1:13:00
9	Vancouver Nighthawks	1	1:13:00	0:51:00
10	Washington DC Current	1	0:51:00	0:05:00
11	Washington DC Current	1	0:05:00	0:00:00
12	Vancouver Nighthawks	2	10:00:00	9:47:00
13	Washington DC Current	2	9:47:00	7:28:00
14	Washington DC Current	2	7:28:00	6:06:00
15	Vancouver Nighthawks	2	6:06:00	4:05:00
16	Washington DC Current	2	4:05:00	3:36:00
17	Vancouver Nighthawks	2	3:36:00	1:55:00
18	Washington DC Current	2	1:55:00	0:58:00
19	Washington DC Current	2	0:58:00	0:00:00
20	Washington DC Current	3	10:00:00	9:18:00
21	Vancouver Nighthawks	3	9:18:00	9:01:00
22	Washington DC Current	3	9:01:00	7:58:00
23	Vancouver Nighthawks	3	7:58:00	7:40:00
24	Washington DC Current	3	7:40:00	6:59:00
25	Vancouver Nighthawks	3	6:59:00	5:42:00
26	Vancouver Nighthawks	3	5:42:00	4:12:00
27	Vancouver Nighthawks	3	4:12:00	3:00:00
28	Vancouver Nighthawks	3	3:00:00	2:12:00
29	Washington DC Current	3	2:12:00	1:25:00
30	Vancouver Nighthawks	3	1:25:00	0:45:00
31	Vancouver Nighthawks	3	0:45:00	0:05:00
32	Washington DC Current	3	0:05:00	0:00:00
