point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	sfoDF	vanNH	pt_dur	pt_dur_txt
1	1	10:00:00	9:24:00	vanNH	2	vanNH	break	0	1	36	00:36
2	1	9:24:00	8:24:00	vanNH	4	vanNH	break	0	2	60	01:00
3	1	8:24:00	6:51:00	vanNH	4	vanNH	break	0	3	93	01:33
4	1	6:51:00	4:56:00	vanNH	5	sfoDF	hold	1	3	115	01:55
5	1	4:56:00	4:22:00	sfoDF	2	sfoDF	break	2	3	34	00:34
6	1	4:22:00	4:05:00	sfoDF	1	vanNH	hold	2	4	17	00:17
7	1	4:05:00	3:06:00	vanNH	1	sfoDF	hold	3	4	59	00:59
8	1	3:06:00	2:30:00	sfoDF	2	sfoDF	break	4	4	36	00:36
9	1	2:30:00	0:02:00	sfoDF	7	vanNH	hold	4	5	148	02:28
10	1	0:02:00	0:00:00	vanNH	NA	NA	NA	4	5	2	00:02
11	2	10:00:00	9:02:00	sfoDF	2	sfoDF	break	5	5	58	00:58
12	2	9:02:00	5:26:00	sfoDF	12	sfoDF	break	6	5	216	03:36
13	2	5:26:00	4:43:00	sfoDF	2	sfoDF	break	7	5	43	00:43
14	2	4:43:00	2:05:00	sfoDF	8	sfoDF	break	8	5	158	02:38
15	2	2:05:00	0:23:00	sfoDF	5	vanNH	hold	8	6	102	01:42
16	2	0:23:00	0:01:00	vanNH	2	vanNH	break	8	7	22	00:22
17	2	0:01:00	0:00:00	vanNH	NA	NA	NA	8	7	1	00:01
18	3	10:00:00	8:57:00	vanNH	2	vanNH	break	8	8	63	01:03
19	3	8:57:00	8:33:00	vanNH	1	sfoDF	hold	9	8	24	00:24
20	3	8:33:00	6:08:00	sfoDF	6	sfoDF	break	10	8	145	02:25
21	3	6:08:00	4:38:00	sfoDF	5	vanNH	hold	10	9	90	01:30
22	3	4:38:00	4:08:00	vanNH	2	vanNH	break	10	10	30	00:30
23	3	4:08:00	3:40:00	vanNH	1	sfoDF	hold	11	10	28	00:28
24	3	3:40:00	1:26:00	sfoDF	7	vanNH	hold	11	11	134	02:14
25	3	1:26:00	0:59:00	vanNH	1	sfoDF	hold	12	11	27	00:27
26	3	0:59:00	0:36:00	sfoDF	1	vanNH	hold	12	12	23	00:23
27	3	0:36:00	0:00:00	vanNH	NA	NA	NA	12	12	36	00:36
28	4	10:00:00	8:25:00	sfoDF	3	vanNH	hold	12	13	95	01:35
29	4	8:25:00	7:51:00	vanNH	1	sfoDF	hold	13	13	34	00:34
30	4	7:51:00	7:27:00	sfoDF	1	vanNH	hold	13	14	24	00:24
31	4	7:27:00	3:15:00	vanNH	10	vanNH	break	13	15	252	04:12
32	4	3:15:00	2:41:00	vanNH	2	vanNH	break	13	16	34	00:34
33	4	2:41:00	2:11:00	vanNH	1	sfoDF	hold	14	16	30	00:30
34	4	2:11:00	1:25:00	sfoDF	2	sfoDF	break	15	16	46	00:46
35	4	1:25:00	0:47:00	sfoDF	1	vanNH	hold	15	17	38	00:38
36	4	0:47:00	0:00:00	vanNH	NA	NA	NA	15	17	47	00:47
