point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	bosWC	phlSP
1	1	10:00:00	9:38:00	phlSP	1	bosWC	hold	1	0
2	1	9:38:00	8:23:00	bosWC	2	bosWC	break	2	0
3	1	8:23:00	7:54:00	bosWC	1	phlSP	hold	2	1
4	1	7:54:00	7:43:00	phlSP	1	bosWC	hold	3	1
5	1	7:43:00	6:48:00	bosWC	1	phlSP	hold	3	2
6	1	6:48:00	6:20:00	phlSP	1	bosWC	hold	4	2
7	1	6:20:00	5:32:00	bosWC	2	bosWC	break	5	2
8	1	5:32:00	5:01:00	bosWC	1	phlSP	hold	5	3
9	1	5:01:00	4:07:00	phlSP	1	bosWC	hold	6	3
10	1	4:07:00	3:35:00	bosWC	1	phlSP	hold	6	4
11	1	3:35:00	2:56:00	phlSP	1	bosWC	hold	7	4
12	1	2:56:00	1:54:00	bosWC	3	phlSP	hold	7	5
13	1	1:54:00	1:29:00	phlSP	1	bosWC	hold	8	5
14	1	1:29:00	0:41:00	bosWC	1	phlSP	hold	8	6
15	1	0:41:00	0:00:00	phlSP	NA	NA	NA	8	6
16	2	10:00:00	8:19:00	bosWC	1	phlSP	hold	8	7
17	2	8:19:00	7:40:00	phlSP	1	bosWC	hold	9	7
18	2	7:40:00	6:33:00	bosWC	2	bosWC	break	10	7
19	2	6:33:00	5:36:00	bosWC	1	phlSP	hold	10	8
20	2	5:36:00	4:44:00	phlSP	2	phlSP	break	10	9
21	2	4:44:00	2:42:00	phlSP	4	phlSP	break	10	10
22	2	2:42:00	1:17:00	phlSP	4	phlSP	break	10	11
23	2	1:17:00	0:44:00	phlSP	3	bosWC	hold	11	11
24	2	0:44:00	0:16:00	bosWC	1	phlSP	hold	11	12
25	2	0:16:00	0:00:00	phlSP	NA	NA	NA	11	12
26	3	10:00:00	9:44:00	phlSP	1	bosWC	hold	12	12
27	3	9:44:00	8:54:00	bosWC	1	phlSP	hold	12	13
28	3	8:54:00	7:08:00	phlSP	2	phlSP	break	12	14
29	3	7:08:00	6:35:00	phlSP	2	phlSP	break	12	15
30	3	6:35:00	5:38:00	phlSP	4	phlSP	break	12	16
31	3	5:38:00	4:43:00	phlSP	1	bosWC	hold	13	16
32	3	4:43:00	3:01:00	bosWC	3	phlSP	hold	13	17
33	3	3:01:00	0:03:00	phlSP	3	bosWC	hold	14	17
34	3	0:03:00	0:00:00	bosWC	NA	NA	NA	14	17
35	4	10:00:00	9:25:00	bosWC	1	phlSP	hold	14	18
36	4	9:25:00	8:07:00	phlSP	3	bosWC	hold	15	18
37	4	8:07:00	6:34:00	bosWC	2	bosWC	break	16	18
38	4	6:34:00	6:21:00	bosWC	2	bosWC	break	17	18
39	4	6:21:00	5:55:00	bosWC	1	phlSP	hold	17	19
40	4	5:55:00	3:40:00	phlSP	3	bosWC	hold	18	19
41	4	3:40:00	2:22:00	bosWC	3	phlSP	hold	18	20
42	4	2:22:00	0:48:00	phlSP	6	phlSP	break	18	21
43	4	0:48:00	0:00:00	phlSP	NA	NA	NA	18	21
