poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	pdxST-7		O-CTH	pdxST-9	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	pdxST-9		O-CTH	pdxST-11	TRUE	compl
1	1	1	4	5	ao	0	O-CTH	pdxST-11		O-CTH	pdxST-42	TRUE	compl
1	1	1	5	6	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-11	TRUE	compl
1	1	1	6	7	ao	0	O-CTH	pdxST-11		O-CTH	pdxST-9	TRUE	compl
1	1	1	7	8	ao	0	O-CTH	pdxST-9		O-CTH	pdxST-16	TRUE	compl
1	1	1	8	9	ao	0	O-CTH	pdxST-16		O-CTH	pdxST-11	TRUE	compl
1	1	1	9	10	ao	0	O-CTH	pdxST-11		O-G	pdxST-6	TRUE	compl
2	1	2	2	3	ao	0	O-PU	vanNH-89		O-CTH	vanNH-5	TRUE	compl
2	1	2	3	4	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-22	TRUE	compl
2	1	2	4	5	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-98	TRUE	compl
2	1	2	5	5	an	-1	O-CTH	vanNH-98		NA	vanNH-98	TRUE	taway
3	2	2	6	7	ao	0	O-PU	pdxST-88		O-CTH	pdxST-8	TRUE	compl
3	2	2	7	8	ao	0	O-CTH	pdxST-8		O-CTH	pdxST-17	TRUE	compl
3	2	2	8	9	ao	0	O-CTH	pdxST-17		O-CTH	pdxST-88	TRUE	compl
3	2	2	9	9	an	-1	O-CTH	pdxST-88		NA	pdxST-88	TRUE	taway
4	3	2	10	11	ao	0	O-PU	vanNH-5		O-CTH	vanNH-22	TRUE	compl
4	3	2	11	12	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-98	TRUE	compl
4	3	2	12	13	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-72	TRUE	compl
4	3	2	13	14	ao	0	O-CTH	vanNH-72		O-CTH	vanNH-21	TRUE	compl
4	3	2	14	15	ao	0	O-CTH	vanNH-21		O-G	vanNH-98	TRUE	compl
