point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	pdxST	sfoDF	pt_dur	pt_dur_txt
1	1	10:00:00	4:39:00	pdxST	6	pdxST	break	1	0	321	05:21
2	1	4:39:00	2:49:00	pdxST	2	pdxST	break	2	0	110	01:50
3	1	2:49:00	2:17:00	pdxST	1	sfoDF	hold	2	1	32	00:32
4	1	2:17:00	1:43:00	sfoDF	2	sfoDF	break	2	2	34	00:34
5	1	1:43:00	0:00:00	sfoDF	NA	NA	NA	2	2	103	01:43
6	2	10:00:00	8:59:00	sfoDF	2	sfoDF	break	2	3	61	01:01
7	2	8:59:00	8:32:00	sfoDF	1	pdxST	hold	3	3	27	00:27
8	2	8:32:00	7:58:00	pdxST	1	sfoDF	hold	3	4	34	00:34
9	2	7:58:00	7:14:00	sfoDF	1	pdxST	hold	4	4	44	00:44
10	2	7:14:00	6:19:00	pdxST	2	pdxST	break	5	4	55	00:55
11	2	6:19:00	4:54:00	pdxST	2	pdxST	break	6	4	85	01:25
12	2	4:54:00	3:59:00	pdxST	2	pdxST	break	7	4	55	00:55
13	2	3:59:00	2:18:00	pdxST	3	sfoDF	hold	7	5	101	01:41
14	2	2:18:00	1:14:00	sfoDF	2	sfoDF	break	7	6	64	01:04
15	2	1:14:00	0:52:00	sfoDF	1	pdxST	hold	8	6	22	00:22
16	2	0:52:00	0:11:00	pdxST	2	pdxST	break	9	6	41	00:41
17	2	0:11:00	0:00:00	pdxST	NA	NA	NA	9	6	11	00:11
18	3	10:00:00	9:42:00	pdxST	1	sfoDF	hold	9	7	18	00:18
19	3	9:42:00	7:04:00	sfoDF	4	sfoDF	break	9	8	158	02:38
20	3	7:04:00	6:31:00	sfoDF	2	sfoDF	break	9	9	33	00:33
21	3	6:31:00	5:36:00	sfoDF	1	pdxST	hold	10	9	55	00:55
22	3	5:36:00	5:13:00	pdxST	2	pdxST	break	11	9	23	00:23
23	3	5:13:00	4:55:00	pdxST	1	sfoDF	hold	11	10	18	00:18
24	3	4:55:00	4:20:00	sfoDF	1	pdxST	hold	12	10	35	00:35
25	3	4:20:00	3:51:00	pdxST	1	sfoDF	hold	12	11	29	00:29
26	3	3:51:00	3:39:00	sfoDF	1	pdxST	hold	13	11	12	00:12
27	3	3:39:00	1:40:00	pdxST	3	sfoDF	hold	13	12	119	01:59
28	3	1:40:00	0:27:00	sfoDF	1	pdxST	hold	14	12	73	01:13
29	3	0:27:00	0:11:00	pdxST	1	sfoDF	hold	14	13	16	00:16
30	3	0:11:00	0:00:00	sfoDF	NA	NA	NA	14	13	11	00:11
31	4	10:00:00	9:35:00	sfoDF	1	pdxST	hold	15	13	25	00:25
32	4	9:35:00	9:05:00	pdxST	1	sfoDF	hold	15	14	30	00:30
33	4	9:05:00	7:27:00	sfoDF	2	sfoDF	break	15	15	98	01:38
34	4	7:27:00	6:51:00	sfoDF	1	pdxST	hold	16	15	36	00:36
35	4	6:51:00	5:41:00	pdxST	2	pdxST	break	17	15	70	01:10
36	4	5:41:00	5:14:00	pdxST	1	sfoDF	hold	17	16	27	00:27
37	4	5:14:00	4:07:00	sfoDF	1	pdxST	hold	18	16	67	01:07
38	4	4:07:00	3:01:00	pdxST	2	pdxST	break	19	16	66	01:06
39	4	3:01:00	1:21:00	pdxST	4	pdxST	break	20	16	100	01:40
40	4	1:21:00	0:44:00	pdxST	1	sfoDF	hold	20	17	37	00:37
41	4	0:44:00	0:38:00	sfoDF	1	pdxST	hold	21	17	6	00:06
42	4	0:38:00	0:00:00	pdxST	NA	NA	NA	21	17	38	00:38
