point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	bosWC	wdcCT
1	1	10:00:00	6:19:00	bosWC	7	wdcCT	hold	0	1
2	1	6:19:00	5:28:00	wdcCT	2	wdcCT	break	0	2
3	1	5:28:00	4:42:00	wdcCT	1	bosWC	hold	1	2
4	1	4:42:00	4:02:00	bosWC	1	wdcCT	hold	1	3
5	1	4:02:00	3:32:00	wdcCT	1	bosWC	hold	2	3
6	1	3:32:00	2:33:00	bosWC	3	wdcCT	hold	2	4
7	1	2:33:00	1:33:00	wdcCT	3	bosWC	hold	3	4
8	1	1:33:00	0:03:00	bosWC	2	bosWC	break	4	4
9	1	0:03:00	0:00:00	bosWC	NA	NA	NA	4	4
10	2	10:00:00	9:09:00	wdcCT	1	bosWC	hold	5	4
11	2	9:09:00	8:43:00	bosWC	2	bosWC	break	6	4
12	2	8:43:00	8:01:00	bosWC	1	wdcCT	hold	6	5
13	2	8:01:00	6:28:00	wdcCT	2	wdcCT	break	6	6
14	2	6:28:00	4:01:00	wdcCT	3	bosWC	hold	7	6
15	2	4:01:00	3:02:00	bosWC	2	bosWC	break	8	6
16	2	3:02:00	2:36:00	bosWC	1	wdcCT	hold	8	7
17	2	2:36:00	0:41:00	wdcCT	3	bosWC	hold	9	7
18	2	0:41:00	0:07:00	bosWC	2	bosWC	break	10	7
19	2	0:07:00	0:00:00	bosWC	NA	NA	NA	10	7
20	3	10:00:00	9:39:00	bosWC	1	wdcCT	hold	10	8
21	3	9:39:00	8:09:00	wdcCT	1	bosWC	hold	11	8
22	3	8:09:00	7:27:00	bosWC	1	wdcCT	hold	11	9
23	3	7:27:00	6:25:00	wdcCT	2	wdcCT	break	11	10
24	3	6:25:00	4:07:00	wdcCT	3	bosWC	hold	12	10
25	3	4:07:00	3:52:00	bosWC	1	wdcCT	hold	12	11
26	3	3:52:00	2:34:00	wdcCT	2	wdcCT	break	12	12
27	3	2:34:00	1:57:00	wdcCT	1	bosWC	hold	13	12
28	3	1:57:00	1:06:00	bosWC	1	wdcCT	hold	13	13
29	3	1:06:00	0:21:00	wdcCT	5	bosWC	hold	14	13
30	3	0:21:00	0:00:00	bosWC	NA	NA	NA	14	13
31	4	10:00:00	8:28:00	wdcCT	2	wdcCT	break	14	14
32	4	8:28:00	7:56:00	wdcCT	2	wdcCT	break	14	15
33	4	7:56:00	5:36:00	wdcCT	4	wdcCT	break	14	16
34	4	5:36:00	4:52:00	wdcCT	1	bosWC	hold	15	16
35	4	4:52:00	3:41:00	bosWC	3	wdcCT	hold	15	17
36	4	3:41:00	3:19:00	wdcCT	1	bosWC	hold	16	17
37	4	3:19:00	0:57:00	bosWC	4	bosWC	break	17	17
38	4	0:57:00	0:31:00	bosWC	1	wdcCT	hold	17	18
39	4	0:31:00	0:00:00	wdcCT	NA	NA	NA	17	18
